arabic,english
مِن,from
ٱللَّه,Allah
فِي,in
إِنّ,that
عَلَىٰ,on
ٱلَّذِي,ٱلَِّي
لَا,no
مَا,what
رَبّ,the Lord
إِلَىٰ,to
مَا,what
مَن,from
إِن,that
أَن,that
إِلَّا,unless
ذَٰلِك,The following
عَن,on
أَرْض,Land
قَد,may be
إِذَا,if
قَوْم,people
ءَايَة,Verse
أَنّ,that
كُلّ,all
لَم,did not
ثُمّ,then
رَسُول,messenger
لَا,no
يَوْم,day
عَذَاب,torment
هَٰذَا,this
سَمَاء,sky
نَفْس,Breath
شَيْء,something
أَو,or
بَيْن,between
حَقّ,right
نَاس,people
إِذ,so
أُولَٰٓئِك,I am the one
قَبْل,before
مُؤْمِن,Believer
سَبِيل,way
أَمْر,Command
